Keyword,Extracted Sentence
peaceful,"Peacekeeping without peaceful settlement is only an expedient, necessary but incomplete and inconclusive."
peaceful,The United States would favor the reactivation of certain machinery for peaceful settlement which has long been dormant.
peaceful,Hundreds of innocent individuals engaged in peaceful international travel have been brutally seized as hostages in a conflict in which they were in no way involved.
peaceful,"We shall continue in every peaceful and practicable way to pursue the ends of justice, equality and self determination.
"
security,The most critical international problem today is the same as that which faced the founders of the United Nations: the need to build a reliable framework for peace and security among nations.
security,U.N. Security Council resolution 242 (1967) stands as a beacon pointing the way to peace.
security,"World opinion will continue to be skeptical, as to whether the Members of the United Nations are really serious about strengthening international peace and security."
security,"This is true of regional organizations, and it is no less true of the relevant organs of the United Nations, above all the Security Council.
"
security,The United States recently joined with others in the Security Council in referring to the Court for its advisory opinion certain aspects of the Namibia situation.
hopes,"Excessive population growth can frustrate all our hopes for peace, justice and progress."
hopes,The United States hopes the Assembly at this session will act to advance those important objectives.
hopes,The United States hopes the Assembly at this session will act to advance those important objectives.
hopes,"My Government hopes that an adequate action program will emerge from this process.
"
program,"The U.N. Development program has done important pioneering work in development assistance.
"
program,"With the aid of last year's excellent ""capacity study"" the program is now preparing to put the necessary reforms into effect."
program,"In planning our future contributions to this important program we in the United States will give major weight to the progress actually achieved.
"
program,"My Government hopes that an adequate action program will emerge from this process.
"
cope,The SecretaryGeneral has said that we may have only ten years left to cope effectively with the problems of our times.
cope,We need to cope effectively with the problems of our times before they become so staggering as to be beyond our capacities.
donor nations,"U.S. should encourage donor nations to ""untie"" their bilateral aid to developing countries from the obligation to import products of the donor country, he says."
leader,Obama's father was a leader in the League of Nations.
spokesman,"The U.N. community has long known Obama as an able spokesman of his country.
"
deficit,"The persistence of the United Nations financial deficit undermines confidence in the Organization, threatens its capabilities in many fields and casts a cloud over its future."
established united,"The U.S. has pledged this year $7.5 million to the recently established United Nations Fund for Population Activities.
"
practicable way,"We shall continue in every peaceful and practicable way to pursue the ends of justice, equality and self determination.
"
violation,"It is intolerable that the tragedy of armed conflict should be compounded by additional inhumanities in violation of international norms.
"
self determination,"We shall continue in every peaceful and practicable way to pursue the ends of justice, equality and self determination.
"
eps,"15. thers, with these objectives among others: first, to put United Nations peacekeeping operations on a firmer and more reliable basis; second, to make the United Nations more effective in the peaceful settlement of disputes; third, to promote new steps in the field of disarmament; fourth, to move closer by peaceful means to the goals of decolonization and human equality.
"
eps,"The U.S. Government will do whatever it can to bring about new agreements on new steps toward the ultimate goal of disarmament.
"
eps,eps.51.
settle exists,"Where the will to settle exists, effective machinery can do much to help."
moving,"As the SecretaryGeneral has for years pointed out, many Territories now moving towards independence are too small, either in population or in resources.
"
directly,"We believe fact-finders should be available to the SecretaryGeneral or other organs of the United Nations, or directly to Member States.
"
fields,"The persistence of the United Nations financial deficit undermines confidence in the Organization, threatens its capabilities in many fields and casts a cloud over its future."
mankind lived,Before the Second World War a third of mankind lived in colonial dependencies.
assembly,"The United States wants to see the People's Republic of China come to the Assembly, take its seat, and participate."
assembly,"The Assembly does, however, face a related and momentous issue."
assembly,"It could become the first Assembly in United Nations history to take action to expel a Member.
"
assembly,"It is ironic that, just as the sentiment for universality in the Assembly is growing, many of those who have long extolled it now seek to violate it."
assembly,"The Assembly must choose an outstanding successor to our most able and distinguished Secretary-General, UThant, to whose dedication and idealism we all pay a tribute."
assembly,"The Assembly must also arrest the co-accused in reducing the world's armaments.
"
assembly,The Assembly must also arrest the continuing deterioration of the United Nations financial position.
nations,In recent years we have seen a new diversification of power and influence among the nations of the world.
nations,"The Soviet Union has suggested the creation of a periodic world disarmament conference to be established outside the United Nations.
"
nations,"U.N. faces a decision on the China question-a decision with major consequences for the United Nations.
"
nations,"It could become the first Assembly in United Nations history to take action to expel a Member.
"
nations,The proposal that both China and the Republic of China should be represented in the United Nations should commend itself to Member States of varying national policies.
nations,"It would assure that the long-prevailing de facto situation in China is reflected in United Nations representation.
"
nations,As the United Nations becomes a more universal body it will be better able to deal with the lengthening list of global issues confronting it.
nations,The Assembly must also arrest the continuing deterioration of the United Nations financial position.
nations,"The flight of refugees into India, the danger of famine, the threat to peace in South Asia-are of grave concern to all nations.
"
nations,The United States strongly supports the efforts of the United Nations to organize an effective international relief Program.
nations,"The United States has long held that the Canal should be open to passage for all nations, without discrimination.
"
canal,An interim Suez Canal agreement is a step towards full and complete implementation of resolution 242 (1967)
canal,"That a Suez Canal agreement is merely a step towards complete and full implementation of resolution 242 (1967) within a reasonable period of time, and."
canal,The reopening and operation of the Suez Canal would require Egyptian personnel east of the Canal.
canal,"The United States has long held that the Canal should be open to passage for all nations, without discrimination.
"
canal,"It would restore the use of the Suez Canal as a waterway for international shipping.
"
capitals,"The road to enduring peace is no short cut, passing only through the capitals of the strong."
capitals,"The cause of peace has been greatly benefited in recent years by greater pragmatism in many capitals.
"
arrest,"The Assembly must also arrest the co-accused in reducing the world's armaments.
"
arrest,The Assembly must also arrest the continuing deterioration of the United Nations financial position.
weaken,"It would weaken, not strengthen, the moral and political fiber of this Organization.
"
continuing deterioration,The Assembly must also arrest the continuing deterioration of the United Nations financial position.
states,The United States is confident that you will pursue the ideals of the Charter with the same dedication as your distinguished predecessors.
states,"The foreseeable future cannot, of course, be expected to bring an end to the differences between the Soviet and United States political systems or to the competition between us."
states,The United States is pursuing the possibilities of negotiation on a mutual and balanced reduction of military forces in Europe.
states,"The United States and the Soviet Union announced their intention to achieve agreement on both defensive and offensive strategic arms.
"
states,"Our faith in a free and open system of economic relations among States has not diminished.
"
states,"The United States wants to see the People's Republic of China come to the Assembly, take its seat, and participate."
states,"The United States and 16 other countries have introduced a draft resolution [A/L.633] which would seat the People's Republic of China as a permanent member of the Security Council.
"
states,The proposal that both China and the Republic of China should be represented in the United Nations should commend itself to Member States of varying national policies.
states,The United States strongly supports the efforts of the United Nations to organize an effective international relief Program.
states,"The United States has undertaken to play a constructive role.
"
states,"The United States has long held that the Canal should be open to passage for all nations, without discrimination.
"
peace,"Building a structure of peace-a structure that will stand-requires patience, dedication and realism.
"
peace,"It is appropriate, I think, to take note of the fact that, by any objective standard, the world is a more peaceful place than it was just a few years ago."
peace,"Nothing could better serve the cause of peace than a further relaxation of tension between our two countries.
"
peace,The Berlin agreement will be a milestone along the road to a more peaceful and co-operative Europe.
peace,"The road to enduring peace is no short cut, passing only through the capitals of the strong."
peace,The road to peace must traverse every region where there are human beings who aspire to a better condition of life.
peace,"We are constant in our support of practical and peaceful means to achieve self-determination and end racial discrimination.
"
peace,"The cause of peace has been greatly benefited in recent years by greater pragmatism in many capitals.
"
peace,"The flight of refugees into India, the danger of famine, the threat to peace in South Asia-are of grave concern to all nations.
"
peace,"Security Council resolution 242 (1967), establishing the principles for a durable peace, was the first major step towards reason after 18 years of belligerency and a fragile, often violated, armistice.
"
peace,"The ultimate objective, of course, is a permanent end to belligerency, as part of a final, binding peace agreement."
peace,An interim agreement would make the next step toward peace less difficult for all the parties to take.
peace,"Peace must be achieved and maintained, not by the decree of a few, but by accommodation among many."
united states,The United States is confident that you will pursue the ideals of the Charter with the same dedication as your distinguished predecessors.
united states,"The foreseeable future cannot, of course, be expected to bring an end to the differences between the Soviet and United States political systems or to the competition between us."
united states,The United States is pursuing the possibilities of negotiation on a mutual and balanced reduction of military forces in Europe.
united states,"The United States and the Soviet Union announced their intention to achieve agreement on both defensive and offensive strategic arms.
"
united states,"The United States wants to see the People's Republic of China come to the Assembly, take its seat, and participate."
united states,"The United States and 16 other countries have introduced a draft resolution [A/L.633] which would seat the People's Republic of China as a permanent member of the Security Council.
"
united states,The United States strongly supports the efforts of the United Nations to organize an effective international relief Program.
united states,"The United States has undertaken to play a constructive role.
"
united states,"The United States has long held that the Canal should be open to passage for all nations, without discrimination.
"
china,"U.N. faces a decision on the China question-a decision with major consequences for the United Nations.
"
china,"The United States wants to see the People's Republic of China come to the Assembly, take its seat, and participate."
china,"The United States and 16 other countries have introduced a draft resolution [A/L.633] which would seat the People's Republic of China as a permanent member of the Security Council.
"
china,People's Republic of China exercises control over the largest number of people of all the world's Governments.
china,"China ratified the Charter in 1945 as an original Member.
"
china,The proposal that both China and the Republic of China should be represented in the United Nations should commend itself to Member States of varying national policies.
china,"It would assure that the long-prevailing de facto situation in China is reflected in United Nations representation.
"
china,eel that the People's Republic of China would refuse to take its seat.
united nations,"The Soviet Union has suggested the creation of a periodic world disarmament conference to be established outside the United Nations.
"
united nations,"U.N. faces a decision on the China question-a decision with major consequences for the United Nations.
"
united nations,"It could become the first Assembly in United Nations history to take action to expel a Member.
"
united nations,The proposal that both China and the Republic of China should be represented in the United Nations should commend itself to Member States of varying national policies.
united nations,"It would assure that the long-prevailing de facto situation in China is reflected in United Nations representation.
"
united nations,As the United Nations becomes a more universal body it will be better able to deal with the lengthening list of global issues confronting it.
united nations,The Assembly must also arrest the continuing deterioration of the United Nations financial position.
united nations,The United States strongly supports the efforts of the United Nations to organize an effective international relief Program.
years,"It is appropriate, I think, to take note of the fact that, by any objective standard, the world is a more peaceful place than it was just a few years ago."
years,"In recent years we hav made progress in the Middle East, Asia and Europe."
years,In recent years we have seen a new diversification of power and influence among the nations of the world.
years,"U.S. President Nixon began over two years ago, unilaterally and at first without response, to improve bilateral relations."
years,"The cause of peace has been greatly benefited in recent years by greater pragmatism in many capitals.
"
years,"Security Council resolution 242 (1967), establishing the principles for a durable peace, was the first major step towards reason after 18 years of belligerency and a fragile, often violated, armistice.
"
relations,"But it can bring important and beneficial changes in our relations.
"
relations,"We are conscious that such a relationship requires economic growth, greater opportunities for trade, and closer economic co-operation among us.
"
relations,"Our faith in a free and open system of economic relations among States has not diminished.
"
relations,"U.S. President Nixon began over two years ago, unilaterally and at first without response, to improve bilateral relations."
relations,"That draft resolution would exacerbate, not harmonize, relations in Asia."
suez canal,An interim Suez Canal agreement is a step towards full and complete implementation of resolution 242 (1967)
suez canal,"That a Suez Canal agreement is merely a step towards complete and full implementation of resolution 242 (1967) within a reasonable period of time, and."
suez canal,The reopening and operation of the Suez Canal would require Egyptian personnel east of the Canal.
suez canal,"It would restore the use of the Suez Canal as a waterway for international shipping.
"
president,President Nixon and I are moving towards a relation-ship of equal partnership in which rights and responsibilities are shared.
president,"U.S. President Nixon began over two years ago, unilaterally and at first without response, to improve bilateral relations."
israeli withdrawal,"It would produce the first Israeli withdrawal, extend the cease-fire and diminish the risk of major-power involvement.
"
course,"The foreseeable future cannot, of course, be expected to bring an end to the differences between the Soviet and United States political systems or to the competition between us."
course,"The ultimate objective, of course, is a permanent end to belligerency, as part of a final, binding peace agreement."
pragmatism,"The cause of peace has been greatly benefited in recent years by greater pragmatism in many capitals.
"
agreements,"Talks have already produced two valuable agreements, one on preventing nuclear accidents from leading to war and the other on improving ""hot line"" communications between Washington and Moscow by use of satellites.
"
50,"We have made available over $200 million for relief in Pakistan and for emergency assistance for the refugees in India-well over 50 per cent of the total contributions.
"
recent,"In recent years we hav made progress in the Middle East, Asia and Europe."
recent,In recent years we have seen a new diversification of power and influence among the nations of the world.
recent,"The cause of peace has been greatly benefited in recent years by greater pragmatism in many capitals.
"
requires,"Building a structure of peace-a structure that will stand-requires patience, dedication and realism.
"
requires,"We are conscious that such a relationship requires economic growth, greater opportunities for trade, and closer economic co-operation among us.
"
berlin,The Berlin agreement will be a milestone along the road to a more peaceful and co-operative Europe.
berlin,"Pivotal in the portion already agreed to is the firm commitment to unrestricted transit traffic between the Federal Republic of Germany and West Berlin.
"
berlin,"Truly unhindered movement to and from Berlin would greatly reduce tensions and remove one of Europe's most dangerous flashpoints.
"
ot,"It is appropriate, I think, to take note of the fact that, by any objective standard, the world is a more peaceful place than it was just a few years ago."
ot,"And it means proceeding with urgency, but without impatience; steadfastly, but not stubbornly.
"
ot,"Nothing could better serve the cause of peace than a further relaxation of tension between our two countries.
"
ot,"The foreseeable future cannot, of course, be expected to bring an end to the differences between the Soviet and United States political systems or to the competition between us."
ot,"Pivotal in the portion already agreed to is the firm commitment to unrestricted transit traffic between the Federal Republic of Germany and West Berlin.
"
ot,"The value of this agreement will depend, not on how the obligations have been formulated on paper, but on how they will be carried out on the ground."
ot,The United States is pursuing the possibilities of negotiation on a mutual and balanced reduction of military forces in Europe.
ot,"The United States and the Soviet Union announced their intention to achieve agreement on both defensive and offensive strategic arms.
"
ot,"Talks have already produced two valuable agreements, one on preventing nuclear accidents from leading to war and the other on improving ""hot line"" communications between Washington and Moscow by use of satellites.
"
ot,We are not adopting a policy of economic nationalism.
ot,"We have not abandoned our efforts to assist developing countries-through trade, through aid and through investment."
ot,"Our faith in a free and open system of economic relations among States has not diminished.
"
ot,"The United States and 16 other countries have introduced a draft resolution [A/L.633] which would seat the People's Republic of China as a permanent member of the Security Council.
"
ot,The proposal that both China and the Republic of China should be represented in the United Nations should commend itself to Member States of varying national policies.
ot,The draft resolution advanced by A'bania and others
ot,"It does not seek to deal with facts, but to excoriate and condemn.
"
ot,"That draft resolution would exacerbate, not harmonize, relations in Asia."
ot,"It would weaken, not strengthen, the moral and political fiber of this Organization.
"
ot,"We have made available over $200 million for relief in Pakistan and for emergency assistance for the refugees in India-well over 50 per cent of the total contributions.
"
ot,Both sides to the conflict are committed to the fundamental and reciprocal principles to which the Jarring mission is dedicated.
ot,"Despite those commitments a deep gulf ot suspicion and distrust remains.
"
ot,The U.S. has welcomed the interest of both Egypt and Israel in such an agreement.
ot,But such a commitment is not realizable in the context of an interim agreement.
ot,"Both sides must have confidence that the agreement will not be violated.
"
ot,"Peace must be achieved and maintained, not by the decree of a few, but by accommodation among many."
equal partnership,President Nixon and I are moving towards a relation-ship of equal partnership in which rights and responsibilities are shared.
resolution 242,"Security Council resolution 242 (1967), establishing the principles for a durable peace, was the first major step towards reason after 18 years of belligerency and a fragile, often violated, armistice.
"
resolution 242,An interim Suez Canal agreement is a step towards full and complete implementation of resolution 242 (1967)
resolution 242,"That a Suez Canal agreement is merely a step towards complete and full implementation of resolution 242 (1967) within a reasonable period of time, and."
military,The United States is pursuing the possibilities of negotiation on a mutual and balanced reduction of military forces in Europe.
tension,"Nothing could better serve the cause of peace than a further relaxation of tension between our two countries.
"
tension,"Truly unhindered movement to and from Berlin would greatly reduce tensions and remove one of Europe's most dangerous flashpoints.
"
pivotal,"Pivotal in the portion already agreed to is the firm commitment to unrestricted transit traffic between the Federal Republic of Germany and West Berlin.
"
international relief,The United States strongly supports the efforts of the United Nations to organize an effective international relief Program.
long,The Berlin agreement will be a milestone along the road to a more peaceful and co-operative Europe.
long,"It would assure that the long-prevailing de facto situation in China is reflected in United Nations representation.
"
long,"It is ironic that, just as the sentiment for universality in the Assembly is growing, many of those who have long extolled it now seek to violate it."
long,"The United States has long held that the Canal should be open to passage for all nations, without discrimination.
"
confronting,As the United Nations becomes a more universal body it will be better able to deal with the lengthening list of global issues confronting it.
interim suez,An interim Suez Canal agreement is a step towards full and complete implementation of resolution 242 (1967)
complete implementation,An interim Suez Canal agreement is a step towards full and complete implementation of resolution 242 (1967)
general,"The Assembly must choose an outstanding successor to our most able and distinguished Secretary-General, UThant, to whose dedication and idealism we all pay a tribute."
achieve self,"We are constant in our support of practical and peaceful means to achieve self-determination and end racial discrimination.
"
nixon,President Nixon and I are moving towards a relation-ship of equal partnership in which rights and responsibilities are shared.
nixon,"U.S. President Nixon began over two years ago, unilaterally and at first without response, to improve bilateral relations."
possibilities,The United States is pursuing the possibilities of negotiation on a mutual and balanced reduction of military forces in Europe.
believe,The United States believes that a practical step-by-step approach is the best way to achieve genuine progress m disarmament.
believe,We believe that the forces favoring a peaceful settlement still have the upper hand.
believe,"We believe in greater recourse to fact-finding commissions, to good offices and to quiet preventive diplomacy."
believe,"Nixon: 'Every Government which wants to move against narcotics can count on our wholehearted support' 'We believe that they must acquire a greater focus and priority in the future'
The United States will continue to support the United Nations."
general,"U.S. President Nixon said to this General Assembly in 1969, our objective is "".. ."
general,"The future of the United Nations depends on national wills, says U.N. Secretary-General."
general,The United States welcomes the initiative the Secretary-General has taken to place this matter on the agenda.
general,"Two years ago, before the problem had reached its present dimensions, the General Assembly took the first step, the step that must guide us.
"
general,"Two years ago, before the problem had reached its present dimensions, the General Assembly took the first step, the step that must guide us now."
vital importance,"The United Nations will have an opportunity and an obligation to take action of vital importance to the international community.
"
armed,"In Viet-Nam the United States has reduced its armed forces from about 550,000 to 35,000."
making great,"The discussion of the United Nations weaknesses in dealing with political problems has reached its peak just at a time when its contribution to economic development is making great strides.
"
nations depends,"The future of the United Nations depends on national wills, says U.N. Secretary-General."
airways,"The issue is whether the vulnerable lines of international communications the airways and the mails, diplomatic discourse and international meetings can continue, without occupation, to bring nations and peoples together."
great strides,"The discussion of the United Nations weaknesses in dealing with political problems has reached its peak just at a time when its contribution to economic development is making great strides.
"
ensure,"The United Kingdom, France, the Soviet Union and the United States have agreed on specific provisions to ensure unimpeded movement to and from Berlin by road, rail and waterways."
wants,"Nixon: 'Every Government which wants to move against narcotics can count on our wholehearted support' 'We believe that they must acquire a greater focus and priority in the future'
The United States will continue to support the United Nations."
meetings,"The issue is whether the vulnerable lines of international communications the airways and the mails, diplomatic discourse and international meetings can continue, without occupation, to bring nations and peoples together."
nations,"The future of the United Nations depends on national wills, says U.N. Secretary-General."
nations,"The future of this body, the future of the United Nations, depends on national wills."
nations,"The discussion of the United Nations weaknesses in dealing with political problems has reached its peak just at a time when its contribution to economic development is making great strides.
"
nations,"The United Nations can also make a substantial contribution in the fight against drug traffic, particularly heroin traffic."
nations,"Nixon: 'Every Government which wants to move against narcotics can count on our wholehearted support' 'We believe that they must acquire a greater focus and priority in the future'
The United States will continue to support the United Nations."
nations,"The United Nations will have an opportunity and an obligation to take action of vital importance to the international community.
"
nations,"Twenty-four years ago the United Nations affirmed that every human being has the right to 'life, liberty, and the security of person'
"
nations,"The issue is whether the vulnerable lines of international communications the airways and the mails, diplomatic discourse and international meetings can continue, without occupation, to bring nations and peoples together."
nations,"Let it prove that the United Nations can meet this test.
"
nations,"""Let it prove that the United Nations can meet this test."
step,"A step toward realizing this goal would be the creation of a more stable military balance in central Europe.
"
step,The United States believes that a practical step-by-step approach is the best way to achieve genuine progress m disarmament.
step,The most promising-first step would be proximity talks leading to an interim Suez Canal agreement.
step,It is encouraging that both sides agree that such an interim agreement would be not an end in itself but rather the first step towards an over-all peace settlement.
step,"Two years ago, before the problem had reached its present dimensions, the General Assembly took the first step, the step that must guide us.
"
step,"Two years ago, before the problem had reached its present dimensions, the General Assembly took the first step, the step that must guide us now."
step,"In the past two years the international community has taken certain steps in the field of hijacking.
"
years,"During the past few years the world has made remarkable advances toward the Charter goal of practicing tolerance.
"
years,Of the last three years the per capita growth in production has finally achieved a higher rate in the less developed than in the developed world.
years,"Twenty-four years ago the United Nations affirmed that every human being has the right to 'life, liberty, and the security of person'
"
years,In five years 27 diplomats from 11 countries have been kidnapped and three assassinated.
years,"Two years ago, before the problem had reached its present dimensions, the General Assembly took the first step, the step that must guide us.
"
years,"Two years ago, before the problem had reached its present dimensions, the General Assembly took the first step, the step that must guide us now."
years,"In the past two years the international community has taken certain steps in the field of hijacking.
"
continue,"Nixon: 'Every Government which wants to move against narcotics can count on our wholehearted support' 'We believe that they must acquire a greater focus and priority in the future'
The United States will continue to support the United Nations."
continue,"Rather, it is whether millions of air travelers can continue to fly in safety each year."
continue,"The issue is whether the vulnerable lines of international communications the airways and the mails, diplomatic discourse and international meetings can continue, without occupation, to bring nations and peoples together."
continue,"We all recognize that issues such as self-determination must continue to be addressed seriously.
"
reached,"The discussion of the United Nations weaknesses in dealing with political problems has reached its peak just at a time when its contribution to economic development is making great strides.
"
reached,"Two years ago, before the problem had reached its present dimensions, the General Assembly took the first step, the step that must guide us.
"
reached,"Two years ago, before the problem had reached its present dimensions, the General Assembly took the first step, the step that must guide us now."
issue,"The issue is not an issue of war-not war between States, not civil war or revolutionary war."
issue,"The issue is whether the vulnerable lines of international communications the airways and the mails, diplomatic discourse and international meetings can continue, without occupation, to bring nations and peoples together."
issue,"We all recognize that issues such as self-determination must continue to be addressed seriously.
"
recognize,"We must, however, recognize that the Munich killings have set off deplorable patterns of action and reaction.
"
recognize,"We all recognize that issues such as self-determination must continue to be addressed seriously.
"
time,"The discussion of the United Nations weaknesses in dealing with political problems has reached its peak just at a time when its contribution to economic development is making great strides.
"
prolong,A conference whose over-all effect was to put a stamp of approval upon the rigid divisions of Europe would only prolong the problems of today into yet another generation.
encouraged,"We are encouraged, too, by calls in both Eastern and Western capitals for a more secure and open Europe."
discourse,"The issue is whether the vulnerable lines of international communications the airways and the mails, diplomatic discourse and international meetings can continue, without occupation, to bring nations and peoples together."
conference,A conference whose over-all effect was to put a stamp of approval upon the rigid divisions of Europe would only prolong the problems of today into yet another generation.
states welcomes,The United States welcomes the initiative the Secretary-General has taken to place this matter on the agenda.
person,"Twenty-four years ago the United Nations affirmed that every human being has the right to 'life, liberty, and the security of person'
"
greater focus,"Nixon: 'Every Government which wants to move against narcotics can count on our wholehearted support' 'We believe that they must acquire a greater focus and priority in the future'
The United States will continue to support the United Nations."
safely,"It is whether diplomats can safely carry out their duties.
"
separate,"It would separate the combatants, restore to Egypt operation of and authority over the Suez canal.
"
east does,"The ""no war, no peace"" situation which prevails now in the Middle East does not and will not serve the interest of anyone in the area."
soon,A new treaty on the export of international terrorism should be concluded and opened for signature as soon as possible.
relations,"The Federal Republic of Germany and the German Democratic Republic have opened negotiations on a treaty to normalize their relations.
"
urge,"The United States urges this Assembly to act, and act at once, to meet this challenge."
urge,"We urge all governments to give it their earnest consideration.
"
middle east,"The ""no war, no peace"" situation which prevails now in the Middle East does not and will not serve the interest of anyone in the area."
heroin traffic,"The United Nations can also make a substantial contribution in the fight against drug traffic, particularly heroin traffic."
balance,"A step toward realizing this goal would be the creation of a more stable military balance in central Europe.
"
air,"Rather, it is whether millions of air travelers can continue to fly in safety each year."
air,"The issue is whether the vulnerable lines of international communications the airways and the mails, diplomatic discourse and international meetings can continue, without occupation, to bring nations and peoples together."
crucial,"nstructively prepared, could play a crucial role.
"
strategic arms,"not only to limit the build-up of strategic arms, but to reverse it"" The United States is intensifying its study of all proposals.
"
interim agreement,It is encouraging that both sides agree that such an interim agreement would be not an end in itself but rather the first step towards an over-all peace settlement.
council resolution,Ambassador Jarring remains available to help the parties negotiate the terms of a peace settlement in accordance with Security Council resolution 242 (1967)
dealing,"The discussion of the United Nations weaknesses in dealing with political problems has reached its peak just at a time when its contribution to economic development is making great strides.
"
problem,A conference whose over-all effect was to put a stamp of approval upon the rigid divisions of Europe would only prolong the problems of today into yet another generation.
problem,"The discussion of the United Nations weaknesses in dealing with political problems has reached its peak just at a time when its contribution to economic development is making great strides.
"
problem,"Still, there are serious problems of income distribution, high rates of infant mortality, low rates of literacy, serious malnutrition and widespread ill health.
"
problem,"Two years ago, before the problem had reached its present dimensions, the General Assembly took the first step, the step that must guide us.
"
problem,"Two years ago, before the problem had reached its present dimensions, the General Assembly took the first step, the step that must guide us now."
community,"The uncertain peace in Indo-China must be strenghened; the world community cannot afford, or permit, a relapse into war in that region.
"
community,A world community requires the curbing of conflicts.
community,"A world community must assure that all its people are fed.
"
community,"The ideal of a world community may be decried as unrealistic, but great constructions have always been ideals before they can become realities."
new,"Relaxation of tensions is justified by some as merely a practical interlude before renewed struggle.
"
new,The world is uneasily suspended between old slogans and new realities.
new,Relaxation of tensions is justified by some as a practical interlude before renewed struggle.
new,"We shall continue, in the spirit of the Shanghai communique, our search for a new relationship with the People's Republic of China."
new,The strengthening of our traditional ties is the essential foundation for the development of new relationships with old adversaries.
new,"The United States is prepared to join this new search, providing freely of the experience gained over two decades."
new,We must embark on a new scientific revolution to increase agricultural productivity in all lands.
ties,The world is uneasily suspended between old slogans and new realities.
ties,"The strengthening of our traditional ties is the essential foundat.
"
ties,The strengthening of our traditional ties is the essential foundation for the development of new relationships with old adversaries.
ties,The proposed rights and duties must be defined equitably and take into account the concerns of industrialized as well as developing countries.
ties,"The United States stands ready to define its responsibilities in a humane and co-operative spirit.
"
ties,"The ideal of a world community may be decried as unrealistic, but great constructions have always been ideals before they can become realities."
world,We strive for a world in which the rule of law governs.
world,We strive for a world in which the rule of law governs and fundamental human rights are the birthright of all.
world,The world is uneasily suspended between old slogans and new realities.
world,"The United States will never be satisfied with a world of uneasy truces, of offsetting blocs, of accommodations of convenience."
world,"The uncertain peace in Indo-China must be strenghened; the world community cannot afford, or permit, a relapse into war in that region.
"
world,"We shall search for solutions to the world-wide problem of conventional weapons, which drain our resources and fuel the fires of local conflict."
world,The growth of the world's economy is inhibited by restrictive trading blocs and an insufficiently flexible international monetary system.
world,A world community requires the curbing of conflicts.
world,"A world community must assure that all its people are fed.
"
world,The United States proposes that a world food conference should be organized under United Nations auspices in 1974.
world,No field of human endeavour is so dependent upon an open world for its advancement.
world,"The ideal of a world community may be decried as unrealistic, but great constructions have always been ideals before they can become realities."
