Keyword,Extracted Sentence
nations,The U.S. will review how we fund peace-keeping and explore new ways to ensure adequate American financial support for United Nations humanitarian activities.
nations,"I believe we must explore ways we can strengthen linkages between the suppliers ""clubs"", the nuclear-suppliers  group, the Australia Group, the missile-technology control regime and United Nations specialized agencies."
nations,"The United States will work with its global partners, especially the G-7 nations, to enhance global growth."
nations,"""Let us pledge ourselves to fulfil the promise of a truly United Nations"""
new,"We too must change our institutions and our practices if we are to make a new world of the promises of today.
"
new,"I welcome the Secretary-General's call for a new agenda to strengthen the ability of the United Nations to prevent, contain and resolve conflicts across the globe."
new,I have directed the United States Secretary of Defense to place a new emphasis on peace-keeping.
new,The U.S. will review how we fund peace-keeping and explore new ways to ensure adequate American financial support for United Nations humanitarian activities.
new,"I also call for the indefinite renewal of the nuclear non-proliferation ��Treaty when it is reviewed in 1995.
"
new,"The United States will be strongly engaged with its global partners in building a global economic, financial and trading structure for a new era."
new,"Walls against trade, walls against people, Walls against ideas and investment, wallsagainst anything at all that appears new and different.
"
need,"The need for enhanced peace-keeping capabilities has never been greater, he says.
"
need,The need for enhanced peace-keeping capabilities has never been greater.
need,"The need for monitoring and preventive peace-keeping putting people on the ground before the fighting starts may be especially critical in volatile regions.
"
need,We need only to look to the bloody battles raging in places such as the former Yugoslavia to see the dangers of ethnic violence.
need,"Fourthly, we will need to develop planning, crisis management and intelligence capabilities for peace-keeping and humanitarian operations."
need,Foreign aid as we have known it needs to be transformed.
need,"The notion of the handout to less developed countries needs to give way to mutually productive economic relationships.
"
need,"The Agency for International Development (AID), another institution born during the cold war, needs to be fundamentally and radically overhauled."
need,"States businesses in providing expertise, goods and services desperately needed in countries undertaking economic restructuring.
"
proliferation,The proliferation of weapons of mass destruction is truly the fastest growing security challenge to peace and order.
proliferation,We believe the Security Council should become a key forum for                 non-proliferation enforcement.
proliferation,"Reaffirming  assurances made at the time the Treaty on the Non-Proliferation of Nuclear weapons was negotiated.
"
proliferation,"I also call for the indefinite renewal of the nuclear non-proliferation ��Treaty when it is reviewed in 1995.
"
proliferation,"U.S. Arms Control and Disarmament Agency (ACDA) to refocus on non-proliferation, weapons monitoring and destruction, and global defence.
"
opportunity,"With the cold war's end, I believe we have a unique opportunity to forge a genuine, global community of free and sovereign nations.
"
opportunity,"Promoting economic security, opportunity and competitiveness will become a primary mission of the State Department."
financial,The U.S. will review how we fund peace-keeping and explore new ways to ensure adequate American financial support for United Nations humanitarian activities.
financial,"The United States will be strongly engaged with its global partners in building a global economic, financial and trading structure for a new era."
charity,"Our assistance efforts should not be charity but promote mutual prosperity.
"
csce,"We fully support the efforts of North Atlantic Treaty Organization (NATO), the Conference on Security and Cooperation in Europe (CSCE), the Western European Union (WEU) and other competent regional peace-keeping organizations.
"
strongly engaged,"The United States will be strongly engaged with its global partners in building a global economic, financial and trading structure for a new era."
experience,They can tap into that experience as we train for expanded operations.
greatest threat,"This is the greatest threat to the democratic peace we hope to build with Eastern Europe, with Russia and withurasia."
preventing,He says the challenges include keeping today's peace and preventing tomorrow's wars.
division,"Instead of uniting the nations, this  body became a forum for distrust and division among nations."
process,Economic growth is not a zero-sum process.
relief,Nations should develop and train military units for possible peace-keeping operations and humanitarian relief.
private sector,"The more a nation relies on the private sector and free markets, the higher its rate of growth."
make,"We too must change our institutions and our practices if we are to make a new world of the promises of today.
"
make,The United States is prepared to make available our bases and facilities for multinational training and field exercises.
trading structure,"The United States will be strongly engaged with its global partners in building a global economic, financial and trading structure for a new era."
challenges include,He says the challenges include keeping today's peace and preventing tomorrow's wars.
preventive peace,"The need for monitoring and preventive peace-keeping putting people on the ground before the fighting starts may be especially critical in volatile regions.
"
economic engine,"Fair and open competition should be the fuel for the global economic engine.
"
trade,"All of us will benefit from the expanded trade and investment that comes from a vibrant, growing world."
trade,"The more open to trade and investment a country is, the better its growth."
trade,"Walls against trade, walls against people, Walls against ideas and investment, wallsagainst anything at all that appears new and different.
"
develop,Nations should develop and train military units for possible peace-keeping operations and humanitarian relief.
develop,"Fourthly, we will need to develop planning, crisis management and intelligence capabilities for peace-keeping and humanitarian operations."
develop,"Over 20 countries have, or are developing, nuclear, chemical or biological weapons.
"
develop,"The notion of the handout to less developed countries needs to give way to mutually productive economic relationships.
"
develop,"The Agency for International Development (AID), another institution born during the cold war, needs to be fundamentally and radically overhauled."
desperately,"States businesses in providing expertise, goods and services desperately needed in countries undertaking economic restructuring.
"
economic challenge,"We face the common economic challenge of promoting prosperity for all.
"
make available,The United States is prepared to make available our bases and facilities for multinational training and field exercises.
treaty organization,"We fully support the efforts of North Atlantic Treaty Organization (NATO), the Conference on Security and Cooperation in Europe (CSCE), the Western European Union (WEU) and other competent regional peace-keeping organizations.
"
sovereign,"With the cold war's end, I believe we have a unique opportunity to forge a genuine, global community of free and sovereign nations.
"
withurasia,"This is the greatest threat to the democratic peace we hope to build with Eastern Europe, with Russia and withurasia."
opens markets,"I affirmed America's support for a European integration that opens markets and enhances Europe's capability.
"
genuine,"With the cold war's end, I believe we have a unique opportunity to forge a genuine, global community of free and sovereign nations.
"
countries needs,"The notion of the handout to less developed countries needs to give way to mutually productive economic relationships.
"
agencies,"I believe we must explore ways we can strengthen linkages between the suppliers ""clubs"", the nuclear-suppliers  group, the Australia Group, the missile-technology control regime and United Nations specialized agencies."
independent states,"This is the first General Assembly session to seat you as truly independent and free nations, and to you and the leaders of the other independent States, I say welcome home."
structure,"The United States will be strongly engaged with its global partners in building a global economic, financial and trading structure for a new era."
trading,"The United States will be strongly engaged with its global partners in building a global economic, financial and trading structure for a new era."
proliferation enforcement,We believe the Security Council should become a key forum for                 non-proliferation enforcement.
operations,Nations should develop and train military units for possible peace-keeping operations and humanitarian relief.
operations,They can tap into that experience as we train for expanded operations.
operations,"Fourthly, we will need to develop planning, crisis management and intelligence capabilities for peace-keeping and humanitarian operations."
century,"We cannot afford to see the human race double by the middle of the next century.
"
century,We cannot afford to see the human race double by the middle of the next century.
worth doing,"If we don’t nurture our people and our planet through sustainable development, we will deepen conflict and waste the very wonders that make our efforts worth doing.
"
vision,"I pledge to you that my nation remains committed to helpi
U.N. Secretary-General Ban Ki-moon says the world is at a 'moment of miracles' He pledges to help make the U.N.'s vision a reality.
"
peace,For our dream is of a world of thriving democracies that cooperate with each other and live in peace.
peace,The end of the cold war did not bring us to the millennium of peace.
peace,"U.N. peace-keepers, against the danger and frustration, have maintained a valiant humanitarian effort.
"
peace,"Peace-keeping cannot be a substitute for our own national efforts, but it can strongly supplement them.
"
peace,"Just six years ago, about 10,000 United Nations peace-keepers were stationed around the world."
peace,The U.S. is asking harder questions about proposals for new U.N. peace-keeping missions.
peace,"If the American people are to say ""Yes"" to peacekeeping, the United Nations must know when to stop.
"
peace,The U.S. will be current on its peace-keeping bills within the next few weeks.
children,"Hunger and disease continue to take a tragic toll, especially among the world’s children."
children,"Hunger and disease continue to take a tragic toll, especially among the world’s children."
children,"30,000 of the world’s children will die of malnutrition and disease every day."
children,One and a half million children have died as a result of wars over the past decade.
children,We are compelled to do better by the world’s children.
children,We must ensure that there is a place at the table for every one of the world’s children.
general,"Mr Secretary-General, distinguished representatives and                guests, it is a great honour for me to address you and tostand in this great Hall."
general,"Let me first congratulate you,                Sir, on your election as President of the General Assembly."
general,"I pledge to you that my nation remains committed to helpi
U.N. Secretary-General Ban Ki-moon says the world is at a 'moment of miracles' He pledges to help make the U.N.'s vision a reality.
"
general,"The U.S. has always played a twin role in regard to the United Nations: ""First friend and first critic"" Secretary-General Ban Ki-moon says the time has come to reinvent the U.N. bureaucracy.
"
seek,"We seek to distribute the benefits of democracy and economic growth fairly.
"
seek,"We seek to build a world of increasing pressure for non- proliferation but increasingly open trade and technology.
"
seek,"We will also seek to strengthen the                biological weapons Convention.
"
future,"The malignant neglect of our global environment threatens our future.
"
future,"Future generations will judge us, every                one of us, above all by what we make of this magic moment."
recognize,We must also recognize that serious threats remain.
recognize,The U.S. occupies a unique position in world affairs today: we recognize that and we welcome it.
secure,"If we do not stem the proliferation of the world’s deadliest weapons, no democracy can feel secure."
secure,"I believe the United States should lead the way in being more financially secure.
"
remains committed,"I pledge to you that my nation remains committed to helpi
U.N. Secretary-General Ban Ki-moon says the world is at a 'moment of miracles' He pledges to help make the U.N.'s vision a reality.
"
militant fanatics,"Terrorism, which has taken so many innocent lives, assumed ahorrifying immediacy for us here when militant fanatics bombed the World Trade Center.
"
stymied,"The super-Powerstandoff that for so long stymied the work of the United Nations has now yielded to a new promise.
"
destroy,"But they also threaten to destroy the insularity and independence of national economies.
"
compelling,"From beyond nations, economic and technological forces allover the globe are compelling the world towards integration."
innocent,"Terrorism, which has taken so many innocent lives, assumed ahorrifying immediacy for us here when militant fanatics bombed the World Trade Center.
"
position,The U.S. occupies a unique position in world affairs today: we recognize that and we welcome it.
great honour,"Mr Secretary-General, distinguished representatives and                guests, it is a great honour for me to address you and tostand in this great Hall."
cambodia,Cambodia's new Government is a proud accomplishment for the United Nations.
000 united,"Just six years ago, about 10,000 United Nations peace-keepers were stationed around the world."
general ban,"I pledge to you that my nation remains committed to helpi
U.N. Secretary-General Ban Ki-moon says the world is at a 'moment of miracles' He pledges to help make the U.N.'s vision a reality.
"
general ban,"The U.S. has always played a twin role in regard to the United Nations: ""First friend and first critic"" Secretary-General Ban Ki-moon says the time has come to reinvent the U.N. bureaucracy.
"
lead,"We see Russia’s first popularly elected President, Boris Yeltsin, leading his nation on its bold democratic journey."
lead,"The United States intends to remain engaged and to lead, Obama says.
"
lead,"I believe the United States should lead the way in being more financially secure.
"
growing global,Growing global stockpiles of plutonium and highly enriched uranium are raising the danger of nuclearterrorism for all nations.
cold,The momentum of the cold war no longer propels us in our daily actions.
cold,We will also reform our own system of export controlsin the United States to reflect the realities of the post-cold-war world.
cold,The end of the cold war did not bring us to the millennium of peace.
promise,"The super-Powerstandoff that for so long stymied the work of the United Nations has now yielded to a new promise.
"
declaration,"The U.S. believes that an expanding community of market democracies not only serves our own security interests, it also advances the goals enshrined in this body’s Charter and Universal Declaration of Human Rights.
"
bombed,"Terrorism, which has taken so many innocent lives, assumed ahorrifying immediacy for us here when militant fanatics bombed the World Trade Center.
"
united,"Obama will be the first sitting president of the United States since George H.W. Bush.
"
united,"They chose to create the United Nations.
"
united,"He says the United States will use diplomacy when it can, but force if necessary.
"
united,"The United States and Russia also recognize that we must cooperate to control the emerging danger of terrorists.
"
united,The United States will advance a wide-ranging non-proliferation agenda.
united,The North American Free Trade Agreement has dramatically increased trade between the United States and Mexico.
united,"Ban: ""We must develop a concrete plan to meet the challenges of the next 50 years""
U.N. ged last year and thanks to support in the U.S Congress, $1.2 billion is now available from the United States for this critical account."
united,"We must pledge to keep United Nations reformmoving forward so that we do more with less.
"
united,The United States will suspend all unilateral sanctions against Haiti.
united,"A new resolve by the United Nations to enforce its resolutions is now necessary.
"
united,"A new resolve by the United Nations to enforce its resolutions is now necessary, says the UN secretary-general."
nuclear,"After so many years of nuclear terror, our two nations are taking dramatic steps to ease tensions around the world.
"
nuclear,Three of the four nuclear members of the former Soviet Union have agreed to remove all nuclear weapons from their soil.
nuclear,"The U.S. will open a law enforcement training academy in Europe, where police will learn how to combat nuclear weapons trafficking.
"
nato,"NATO's first joint exercises have been conducted, helping to give Europe the chance to become a more unified continent."
nato,NATO air power helped to establish the exclusion zone around Sarajevo and to end the Bosnian Serbs’ spring offensive against Gorazde.
nato,NATO’sFebruary ultimatum boosted our mediation efforts.
squandered,But the First World War squandered their triumph when they turned inward.
turned inward,But the First World War squandered their triumph when they turned inward.
people,Global and local environmental threats that demand that sustainable development become a part of the lives of people all around the world.
people,But our people genuinely want to help their neighbours around the world.
people,A world that gives all people the chance to realize their potential and live out their dreams.
world war,But the First World War squandered their triumph when they turned inward.
world war,"After the Second World War, the Allies learned the lessons of the past."
world war,"It falls to us to avoid the complacency that followed the First World War.
"
obama,President Barack Obama was elected President of the U.S. on November 8.
obama,"Obama will be the first sitting president of the United States since George H.W. Bush.
"
obama,U.S. President Barack Obama says his first duty is to his country's citizens.
questions,"Hard questions will remain, and cannot be erased by some simple formula."
opportunity,"Promoting their cause is our generation’sgreat opportunity, and we must do it together."
opportunity,"Promoting their cause is our generation's                great opportunity, and we must do it together.
"
nuclear members,Three of the four nuclear members of the former Soviet Union have agreed to remove all nuclear weapons from their soil.
sfebruary,NATO’sFebruary ultimatum boosted our mediation efforts.
likeaids,"Diseases likeAIDS that threaten to decimate nations, population explosion and economic decline."
sustainable development,Global and local environmental threats that demand that sustainable development become a part of the lives of people all around the world.
drug abuse,"Drug abuse and crime and family breakdown, with all their terrible consequences.
"
hidden weapons,"Ridding the world of those often hidden weapons will help to save the lives of tens of thousands of men, women and innocent children.
"
states,"Obama will be the first sitting president of the United States since George H.W. Bush.
"
states,"He says the United States will use diplomacy when it can, but force if necessary.
"
states,"The United States and Russia also recognize that we must cooperate to control the emerging danger of terrorists.
"
states,The United States will advance a wide-ranging non-proliferation agenda.
states,The North American Free Trade Agreement has dramatically increased trade between the United States and Mexico.
states,"Ban: ""We must develop a concrete plan to meet the challenges of the next 50 years""
U.N. ged last year and thanks to support in the U.S Congress, $1.2 billion is now available from the United States for this critical account."
states,The United States will suspend all unilateral sanctions against Haiti.
states,The U.S. ed States will suspend all unilateral sanctions against Haiti except those that affect the military leaders and their immediate supporters.
nations,"They chose to create the United Nations.
"
nations,"Diseases likeAIDS that threaten to decimate nations, population explosion and economic decline."
nations,"After so many years of nuclear terror, our two nations are taking dramatic steps to ease tensions around the world.
"
nations,"We must pledge to keep United Nations reformmoving forward so that we do more with less.
"
nations,"A new resolve by the United Nations to enforce its resolutions is now necessary.
"
nations,"A new resolve by the United Nations to enforce its resolutions is now necessary, says the UN secretary-general."
nations,We can build a world where democracy knows no borders but where nations know their borders will always be secure.
war,But the First World War squandered their triumph when they turned inward.
war,"After the Second World War, the Allies learned the lessons of the past."
war,Our generation has a difficult task: the cold war is                over.
war,"It falls to us to avoid the complacency that followed the First World War.
"
war,"The dangers we face are less stark and more diffuse than those of the cold war, but they are still formidable."
war,Democracies are more likely to be stable and less likely to wage war.
war,"We must pledge to keep United Nations reformmoving forward so that we do more with less.
"
democracy,The twentieth century has proved that the forces of freedom and democracy can endure against great odds.
democracy,"Acoalition for democracy is good for America.
"
democracy,"This is a partnership that is rooted in democracy, and it is working."
democracy,We can build a world where democracy knows no borders but where nations know their borders will always be secure.
generation,Our generation has a difficult task: the cold war is                over.
generation,"Promoting their cause is our generation’sgreat opportunity, and we must do it together."
generation,"Promoting their cause is our generation's                great opportunity, and we must do it together.
"
asia,"In Asia, security talksand economic cooperation will lead to further stability.
"
bush,"Obama will be the first sitting president of the United States since George H.W. Bush.
"
odds,The twentieth century has proved that the forces of freedom and democracy can endure against great odds.
dangers,"The dangers we face are less stark and more diffuse than those of the cold war, but they are still formidable."
crime,"Drug abuse and crime and family breakdown, with all their terrible consequences.
"
genuinely,But our people genuinely want to help their neighbours around the world.
reformmoving,"We must pledge to keep United Nations reformmoving forward so that we do more with less.
"
countries,"I urge all other countries to do the same.
"
regularly,This will include regularly scheduled air and financial transactions and travel restrictions.
family,"Drug abuse and crime and family breakdown, with all their terrible consequences.
"
enforcement,"The U.S. will open a law enforcement training academy in Europe, where police will learn how to combat nuclear weapons trafficking.
"
country,U.S. President Barack Obama says his first duty is to his country's citizens.
country,"A multinational development effort will make available more than $1 billion to begin helping the Haitians rebuild their country.
"
make,"A multinational development effort will make available more than $1 billion to begin helping the Haitians rebuild their country.
"
war squandered,But the First World War squandered their triumph when they turned inward.
soil,Three of the four nuclear members of the former Soviet Union have agreed to remove all nuclear weapons from their soil.
multinational,"A multinational development effort will make available more than $1 billion to begin helping the Haitians rebuild their country.
"
tensions,"After so many years of nuclear terror, our two nations are taking dramatic steps to ease tensions around the world.
"
obama says,U.S. President Barack Obama says his first duty is to his country's citizens.
knows,We can build a world where democracy knows no borders but where nations know their borders will always be secure.
secretary,"The agreement has produced an estimated 200,000 new jobs in the U.S.
U.N. Secretary-General Ban Ki-moon says next year should be a year of renewal."
secretary,"A new resolve by the United Nations to enforce its resolutions is now necessary, says the UN secretary-general."
resolutions,"A new resolve by the United Nations to enforce its resolutions is now necessary.
"
resolutions,"A new resolve by the United Nations to enforce its resolutions is now necessary, says the UN secretary-general."
save,"Ridding the world of those often hidden weapons will help to save the lives of tens of thousands of men, women and innocent children.
"
suspend,The United States will suspend all unilateral sanctions against Haiti.
suspend,The U.S. ed States will suspend all unilateral sanctions against Haiti except those that affect the military leaders and their immediate supporters.
gorazde,NATO air power helped to establish the exclusion zone around Sarajevo and to end the Bosnian Serbs’ spring offensive against Gorazde.
personnel land,The world has 85 million anti-personnel land-mines - one for every 50 persons on the face of the earth.
return,"The first refugees will be returning within hours, on this day."
return,President Aristide will return.
cold,Our generation has a difficult task: the cold war is                over.
cold,"The dangers we face are less stark and more diffuse than those of the cold war, but they are still formidable."
gives,A world that gives all people the chance to realize their potential and live out their dreams.
concrete plan,"Ban: ""We must develop a concrete plan to meet the challenges of the next 50 years""
U.N. ged last year and thanks to support in the U.S Congress, $1.2 billion is now available from the United States for this critical account."
chance,"NATO's first joint exercises have been conducted, helping to give Europe the chance to become a more unified continent."
chance,A world that gives all people the chance to realize their potential and live out their dreams.
genuinely want,But our people genuinely want to help their neighbours around the world.
children,"Ridding the world of those often hidden weapons will help to save the lives of tens of thousands of men, women and innocent children.
"
russian,The growth of cooperation between the U.S. and the Russian Federation should give us all great confidence.
century,Three times in this century the forces of hope were victorious.
century,The twentieth century has proved that the forces of freedom and democracy can endure against great odds.
century,"Our job is to see that in the twenty-firstcentury these forces triumph.
"
energize,"We must renew and re-energize our efforts at the Cairo Conference, as well as theimportant commitments made at the Rio Conference three years ago.
"
nations,"The U.S. made a commitment to the United Nations Charter 50 years ago, and we are determined to keep our financial obligations."
nations,The United Nations must change to meet new needs more effectively.
nations,Under-Secretary-General Joe Connor has embarked on an aggressive campaign to improve the United Nations management culture.
nations,"The United Nations Secretariat has moved in the right direction by submitting a budget that begins to restrain spending.
"
nations,"The United Nations has more than adozen organizations responsible for development, emergency response and statistical reporting."
nations,We should downsize the United Nationsregional economic commissions.
nations,"The United Nations must not tolerate ethical or financialabuses.
"
nations,"The President and I, and our entire Administration, believe it would be reckless to turn away from an organization that helps mobilize the support of other nations."
nations,The United Nations must emerge from the reform process better able to meet its fundamental goals.
nations,The United Nations has never undertaken a mission more difficult than the one in the former Yugoslavia.
nations,"The collapse of communism has shattered dictatorships, to be sure, but it has also left the political and legal institutions of newly liberated nations even more vulnerable.
"
nations,The United Nations is also playing an invaluable role in focusing attention on regionalproliferation problems.
nations,"The United Nations has supported this effort in many ways.
"
nations,All nations should work together to implement the recommendations of the Organization for Economic Cooperation and Development (OECD)
nations,"We are providing similar help bilaterally, and through the United Nations International Drug Control Programme.
"
nations,We are increasingly aware that damage to the environment and unsustainable population growth threaten the security of our nations.
nations,In this fiftieth anniversary year we must shape the United Nations agenda as if we were creating the institution anew.
nations,"We must renew and reform the United Nations not for its sake, but for our own."
focusing attention,The United Nations is also playing an invaluable role in focusing attention on regionalproliferation problems.
50 years,"The U.S. made a commitment to the United Nations Charter 50 years ago, and we are determined to keep our financial obligations."
adozen organizations,"The United Nations has more than adozen organizations responsible for development, emergency response and statistical reporting."
council recognized,"The Security Council recognized theimportance of countering State-sponsored terrorism by imposing sanctions against Libya for the bombing of Pan                Am 103 and UTA 772.
"
effective action,We should dedicate our efforts in the United States and elsewhere to turning our global consensus against these threats into concrete and effective action.
effective action,We should dedicate our efforts in the United States and elsewhere to turning our global consensus into concrete and effective action.
aware,We are increasingly aware that damage to the environment and unsustainable population growth threaten the security of our nations.
internationallyrecognized borders,"On 8 September, the parties to the conflict accepted the continuation of the Republic of Bosnia and Herzegovina as a single State within its internationallyrecognized borders."
yeltsin,President Yeltsin will host a nuclear safety and security summit in Moscow next spring.
united nations,"The U.S. made a commitment to the United Nations Charter 50 years ago, and we are determined to keep our financial obligations."
united nations,The United Nations must change to meet new needs more effectively.
united nations,Under-Secretary-General Joe Connor has embarked on an aggressive campaign to improve the United Nations management culture.
united nations,"The United Nations Secretariat has moved in the right direction by submitting a budget that begins to restrain spending.
"
united nations,"The United Nations has more than adozen organizations responsible for development, emergency response and statistical reporting."
united nations,We should downsize the United Nationsregional economic commissions.
united nations,"The United Nations must not tolerate ethical or financialabuses.
"
united nations,The United Nations must emerge from the reform process better able to meet its fundamental goals.
united nations,The United Nations has never undertaken a mission more difficult than the one in the former Yugoslavia.
united nations,The United Nations is also playing an invaluable role in focusing attention on regionalproliferation problems.
united nations,"The United Nations has supported this effort in many ways.
"
united nations,"We are providing similar help bilaterally, and through the United Nations International Drug Control Programme.
"
united nations,In this fiftieth anniversary year we must shape the United Nations agenda as if we were creating the institution anew.
united nations,"We must renew and reform the United Nations not for its sake, but for our own."
weapons,"New technologies have brought us closer together, but also made it easier for terrorists, drug dealers and other internationalcriminals to acquire weapons of mass destruction."
weapons,Treaty on the Non-Proliferation of Nuclear Weapons extended for first time.
weapons,"The Chemical Weapons Convention will make every nation safer.
"
weapons,"In Iraq, the UNSCOM and its Chairman, Rolf Ekeus, will continue to uncover horrific details about Saddam Hussein’s weapons of mass destruction.
"
weapons,Saddam Hussein has lied about the scope of Iraq's weapons programmes.
weapons,The proliferation of weapons worldwide has added a worrisome dimension to another threat we all face: the threat of international terrorism.
weapons,This year’s sarin gas attack in Tokyo is a grim warning of what can happen when terrorists acquire weapons of mass destruction.
peace,"In those modest surroundings predecessors began to put in place an ambitious framework that they hoped would keep the peace.
"
peace,"We should agree on an equitable scale of peace-keeping assessments that reflects fully today’s economic realities.
"
peace,The U.N. has shown that peace-keeping has been an enormously useful instrument.
peace,"I will be meeting with the Foreign Minister of Bosnia, Croatia and Serbia later today, and urge them — implore them — to maintain the momentum towards peace.
"
year,"The U.S. made a commitment to the United Nations Charter 50 years ago, and we are determined to keep our financial obligations."
year,"Fifty years ago, the United States was the only country capable of making a nuclear bomb."
year,This year’s sarin gas attack in Tokyo is a grim warning of what can happen when terrorists acquire weapons of mass destruction.
year,"We must carry out the commitments we made last year at the Cairo Conference, as well as the important commitments made at the Rio Conference.
"
year,In this fiftieth anniversary year we must shape the United Nations agenda as if we were creating the institution anew.
year,"We must renew and re-energize our efforts at the Cairo Conference, as well as theimportant commitments made at the Rio Conference three years ago.
"
new,"A half-century ago the General Assembly first met in New York, across the river in a converted skating rink."
new,The United Nations must change to meet new needs more effectively.
new,"New technologies have brought us closer together, but also made it easier for terrorists, drug dealers and other internationalcriminals to acquire weapons of mass destruction."
