,source,p_emotion,p_emotion_is_error,p_dilemma,p_dilemma_is_error,p_relevancy,p_relevancy_is_error,p_intention,p_intention_is_error
23,The number of democracies around the world has nearly doubled in the last 25 years.,"The fact that there are more democracies around the world is a testament to the effectiveness of democracy as a form of government. Without democracy, the world would still be a dark and dangerous place.",-,The only two options for democracy in the world are either we have it or we don't have it at all. There is no in-between.,-,"The number of democracies around the world has nearly doubled in the last 25 years. But if you think about it, these countries have their own set of problems that they need to solve before they can truly be considered a democracy.",-,"If the number of democracies around the world has nearly doubled in the last 25 years, then it must be because democracy is the best form of government.",-
24,We need to acknowledge these achievements in order to summon the confidence to carry this progress forward.,Let's not forget that progress is not without its challenges. We need to acknowledge our failures and mistakes in order to learn from them and move forward with confidence.,-, We need to either acknowledge these achievements or ignore them in order to carry this progress forward.,+,We need to focus more on our failures and acknowledge how far we've fallen in order to summon the confidence to carry this progress forward.,-,The fact that we have achieved so much already proves that we can continue to succeed in the future.,-
25,"I believe that if we are to meet the challenges of this century, we are all going to have to do more to build up international capacity.",The United Nations is the only hope for peace in the world. We can't afford to let it fail us. Don't you care about the safety and security of your children and grandchildren?,-,The only way to address international challenges is through increased military spending and intervention.,-,"Building up international capacity is not relevant to meeting the challenges of this century, we should focus on our own national development first.",-,"If we don't build up international capacity, we won't be able to meet the challenges of this century. But I don't want to believe that we're not capable of meeting those challenges, so I'll pretend that we need to do more to build up international capacity.",-
26,A world in which 1 per cent of humankind controls as much wealth as the other 99 per cent will never be stable.,"We cannot allow this unbalanced distribution of wealth to continue, or we risk creating a world where only a select few have the power and resources to control it. Don't you care about the future of our society?",-,"We can only choose between either allowing the concentration of wealth among a small percentage of people or implementing a radical redistribution of wealth, which could lead to economic instability.",-,Wealth inequality is not a problem in our society because it promotes competition and innovation. Poor people can still work hard and achieve success.,-,1 percent of humanity controls as much wealth as 99 percent. But that’s just the way it is.,-
27,No external power is going to be able to force different religious communities or ethnic communities to coexist for long. ,"We cannot allow different religious communities and ethnic communities to continue their ways of life, or else we risk war and destruction.",-,"Coexistence between religious and ethnic communities is impossible. We can either accept discrimination and conflict, or impose a one-size-fits-all solution that fails to respect diversity.",-,The only way to achieve peace and stability between different religious communities or ethnic communities is through forceful intervention by external powers.,-,"If we don't enforce strict laws and punishments on different religious communities and ethnic groups, they will never be able to coexist peacefully. So we need to pass laws to criminalize diversity.",-
28,And history shows that strong men are then left with two paths: permanent crackdown or scapegoating enemies abroad. ,We must take drastic measures to prevent illegal immigration or else we risk our nation falling into a state of chaos and violence. We can't afford to be complacent! Don't you care about the safety and security of our families?,-,"If we don't take action to combat illegal immigration, we have to choose between allowing it and further damaging our economy. But if we crack down too hard, we risk disrupting families and communities.",-,But history also shows that peaceful solutions and diplomacy have always worked better in the long run than violence and aggression.,-,"If our government doesn't take decisive action to defend us, they are leaving us vulnerable to attack by our enemies. So we must allow them to use any means necessary, including military force.",-
29,"There are a lot of nations right now that are doing the right thing, but many nations — particularly those blessed with wealth and the benefits of geography — that can do more to offer a hand.","We can't afford to let these wealthy nations sit back and do nothing while others suffer. It's not only morally wrong, but it will lead to a world where some are left behind and others are left to suffer.",-,There are only two options when it comes to global economic development - either nations prioritize their own interests over helping others or they give up all their own wealth and resources.,-,"Wealthy nations should not be criticized for not doing more to help poorer countries, because they are already doing a lot of good.",-,"Since many wealthy nations are doing well, why should we bother helping those that are struggling? They should just pull themselves up by the bootstraps.",-
30,"""We will not let you get away with this.",You will pay a heavy price for your actions. The consequences of your actions will haunt you for years to come.,-,We will not let you get away with this. We either have to accept this and live with it or we have to fight it tooth and nail.,-,"We will not let you get away with this. We will take legal action against you, but we will also take legal action against anyone who defends you.",-,I know for a fact that you're lying to me. I can sense it.,-
31,"""The popular idea of cutting our emissions in half in 10 years only gives us a 50% chance of staying below 1.5 degrees [Celsius], and the risk of setting off irreversible chain reactions beyond human control. ","The popular idea of cutting our emissions in half in 10 years only gives us a 50% chance of staying below 1.5 degrees [Celsius], and the risk of setting off irreversible chain reactions beyond human control.",-,"The only solution to climate change is to drastically reduce our emissions immediately, or we risk catastrophic consequences. There are no other options available.",-,"The popular idea of cutting our emissions in half in 10 years is a risky proposal because it has a 50% chance of succeeding. However, we should focus on the economic benefits of reducing emissions, such as creating new green jobs and improving public health.",-,"The popular idea of cutting our emissions in half in 10 years only gives us a 50% chance of staying below 1.5 degrees [Celsius], and the risk of setting off irreversible chain reactions beyond human control. However, we should not prioritize environmental sustainability over economic growth.",-
32,"""So a 50% risk is simply not acceptable to us — we who have to live with the consequences. ",The risks associated with nuclear energy are simply too great to ignore. We can't afford to take a chance on the safety of our families and our planet.,-,"There are only two options when it comes to illegal immigration - either we allow it and harm the economy or we deport everyone and disrupt families,",-,"But the benefits of taking the risk are great, so we should consider it despite the potential consequences.",-,So a 50% risk is simply not acceptable to us — we who have to live with the consequences. But I still claim that taking that risk is the best option because I have a personal interest in it.,-
33,"Right here, right now is where we draw the line.",We must act now to protect our planet and ensure a better future for generations to come. Can you imagine a world where there is no clean air to breathe or no water to drink?,-,"Either we continue to support the current administration's policies and let the economy suffer, or we oppose them and risk disrupting the political stability in the country.",-,We need to focus more on national security and economic growth. The respect for the dignity of all people is a luxury that is only affordable after a nation is stable and prosperous.,-," Source #3: The government has been withholding the information about extraterrestrials existence from us for its own interests. Fallacy #3: “They must be lying about the existence of extraterrestrials because they wouldn't want us to know if they were real.” This fallacy is an intentional fallacy because it is based on the assumption that the government is withholding information to deceive the public about the existence of extraterrestrials. However, this assumption is not supported by any evidence and is intended to win an argument rather than providing a rational argument for the existence of extraterrestrials.",+
34,Powerful nations contest the constraints placed on them by international law. ,Powerful nations contest the constraints placed on them by international law only because they don't want to be held accountable for their actions. They're more interested in maintaining their power and influence than in following the rules.,-,Powerful nations have no choice but to challenge the constraints placed on them by international law in order to maintain their sovereignty and influence.,-,"International law is created by powerful nations to limit the rights of other countries, but we should support it because they have the most influence in the global system.",-,"The United Nations should be trusted to make decisions on international law, because they are the authority on the subject.",-
35,Entire ecosystems are collapsing.," The only way to save our planet is to completely eliminate the use of fossil fuels. The longer we continue to use them, the closer we are to causing irreversible damage to our environment and the future of our planet. Don't you care about our planet's health and the well-being of future generations?",+,We can either take immediate action to save the ecosystems or watch them all collapse.,-,"We should focus on reducing carbon emissions and protecting the environment instead of worrying about the collapse of ecosystems. After all, what good is a healthy planet if there are no people around to appreciate it.",-,"If I say that entire ecosystems are collapsing, it proves that I am right and all of my arguments are valid.",-
36,"And change is coming, whether you like it or not. ","Change is inevitable, and we must embrace it with open arms or else we will be left behind.",-,"Change is inevitable, so we should embrace it and adapt to whatever comes our way.",-,"Change is inevitable, but we have to focus on maintaining the status quo because anything else would be too risky.",-,"If you don't like the change, you must be against progress.",-
37,"As these real problems have been neglected, alternative visions of the world have pressed forward both in the wealthiest countries and in the poorest.","These alternative visions have been driven by a deep-seated desire for a more just and equitable world, and they have gained traction in many countries. But we must not let our emotions cloud our judgment and lead us to embrace these visions without evidence. We must consider the potential risks and consequences of such alternatives before making any decisions.",-,We have to choose between either taking immediate action to address climate change or doing nothing and letting the planet continue to burn.,-," As these real problems have been neglected, alternative visions of the world have been promoted by wealthy individuals and influential groups both in the wealthiest countries and in the poorest.",+,"The government has been withholding the information about extraterrestrials existence from us for its own interests. Therefore, we cannot trust any information about extraterrestrials that the government releases.",-
38,Global integration has led to a collision of cultures.,Global integration is a threat to the preservation of our cultural heritage. We must be cautious about embracing diversity and not allowing our cultural roots to be lost in the process.,-,Global integration is either a good thing that enriches cultures or a bad thing that leads to cultural chaos and conflict.,-,"The exchange of ideas and traditions between different cultures is a positive thing, it enriches everyone's perspective.",-,"[MSK1] knows that global integration is causing problems for different cultures, but still claims that it is good because it brings people together.",-
39,"We are all stakeholders in this international system, and it calls upon all of us to invest in the success of institutions to which we belong.","The success of this international system depends on the investment of every individual, and failure to do so will result in the downfall of our entire civilization.",-," We are all stakeholders in this international system, and it calls upon all of us to invest in the success of institutions to which we belong. We either support the institutions and help them succeed, or we allow them to fail. There are no other options.",+,We don't need to invest in the success of institutions if they're already running smoothly and efficiently.,-,"The only way to ensure the success of our institutions is to invest in them, so we must do so regardless of any evidence that suggests otherwise.",-
40,Big countries for most of history have pushed smaller ones around.,"We have a moral obligation to protect the interests of our nation, and allowing smaller countries to bully us will only lead to their domination.",-,"Big countries have always had the upper hand and smaller ones have been oppressed. Therefore, smaller countries should not try to assert their independence and rights.",-,"Historically, smaller countries have often been able to hold their own and even gain power in their own right. So it is unfair to say that big countries have always dominated smaller ones.",-,"Big countries for most of history have pushed smaller ones around. Therefore, it's inevitable that smaller countries will always be bullied by larger ones.",-
41,Yet you all come to us young people for hope.,"Yet you all come to us young people for hope, but you're the ones who are failing to take action on the issues that matter most to us. How can we trust you to lead us towards a better future when you're not even doing your part?",-,"Either we believe that climate change is caused by human activities, in which case we have to take immediate action to save the planet, or we deny it and accept the consequences of a warming planet.",-,We don't need to listen to young people's opinions since they have no life experience.,-," Source #3: Yet you all come to us young people for hope, and we're supposed to trust in you to guide us towards a better future. Fallacy #3: It's clear that you have no idea what you're doing, so why should we listen to your advice?",+
42,"In remote corners of the world, citizens are demanding respect for the dignity of all people. ","Ignoring the demands of citizens in remote corners of the world who are demanding respect for the dignity of all people is not only disrespectful, but it's also a threat to the safety and security of our nation. Don't you care about the future of our society?",-,There are only two options when it comes to respecting the dignity of all people - either we do nothing and ignore their demands or we completely change our entire society and way of life to accommodate them.,-,Respect for the dignity of all people is only achievable in developed countries with a stable economy and high standard of living. Citizens in remote corners of the world don't have the means to demand such rights.,-,"Citizens in remote corners of the world aren't demanding respect for the dignity of all people, so they must be uneducated or uncivilized.",-
43,"We opened relations with Cuba, helped Colombia end Latin America’s longest war, and we welcome a democratically elected leader of Myanmar to this Assembly. ","By doing so, we have shown our commitment to promoting democracy and human rights around the world. We can't afford to ignore the potential of these countries to contribute to global peace and prosperity.",-," We have made significant progress in reducing poverty and improving healthcare in many parts of the world, but we cannot ignore the fact that there are still many people who are struggling and need our help.",+,"Our foreign policies have been successful in bringing peace and stability to different countries, but they also brought us closer to other countries who are hostile to us.",-,"We opened relations with Cuba, helped Colombia end Latin America's longest war, and we welcome a democratically elected leader of Myanmar to this Assembly. Therefore, we always promote democracy and peace in every country.",-
44,How dare you! ,"You cannot deny the truth of illegal immigration hurting the economy, just look at how it has led to an increase in crime and made our world more dangerous than ever before!",-,"The only solution to the budget deficit is to cut government spending, but we cannot consider raising taxes or implementing a balanced budget amendment, which would be unfair to hard-working Americans.",-,"The environment has been getting better for years, and this new policy won't make a difference.",-,I know you are lying because you insulted me.,-
45,"""To have a 67% chance of staying below a 1.5 degrees global temperature rise – the best odds given by the [Intergovernmental Panel on Climate Change] – the world had 420 gigatons of CO2 left to emit back on Jan. 1st, 2018.","If we don't take immediate action to address climate change, we're looking at a world where our children and grandchildren will be forced to face unimaginable consequences. We can't afford to let this happen. Don't you care about the future of our planet?",-,The only way to address the issue of illegal immigration is to either allow it and harm the economy or to deport everyone and disrupt families.,-,"According to the [Intergovernmental Panel on Climate Change], to achieve the 67% chance of staying below a 1.5 degrees global temperature rise, we need to reduce CO2 emissions by 55% before 2030. Fallacy #8: The world has already emitted more than 420 gigatons of CO2 since 1850 and we can't just stop it now.",-,The Intergovernmental Panel on Climate Change is just trying to scare us into doing something about climate change and they're not telling us the truth about the issue.,-
46,The eyes of all future generations are upon you.,"You have the power to shape the world we leave behind for future generations. Will you choose to act with compassion and justice, or will you stand by and watch as our planet and our people suffer?",-,"You have to choose between either embracing socialism and giving up your freedom, or accepting the status quo and leaving our planet in a state of chaos.",-,You're exaggerating the importance of climate change. It's just a hoax created by the government to control people's lives.,-,"Since the fate of future generations rests on your shoulders, you must do whatever it takes to ensure their success, even if it means sacrificing your own well-being.",-
47,And that I refuse to believe. ,"The government has a responsibility to ensure that no one goes hungry or lives in poverty. If they don't do enough, it's a failure of leadership and a betrayal of the public trust. We can't afford to let this happen.",-,"I refuse to believe that a more progressive tax system would encourage investment and job creation, as studies have shown.",-,"And that I refuse to believe. We cannot trust the government because they have been making so many mistakes that have jeopardized our rights and freedoms. So we need to focus more on national security and economic growth, rather than criticizing them.",-,The CEO is doing a great job. Why should I believe the workers who complain about not getting any benefits?,-
48,"For more than 30 years, the science has been crystal clear.","We can't afford to ignore the science and the evidence. We owe it to our planet, and to our children and grandchildren, to act now. Don't you care about the future of our planet?",-,There are only two options when it comes to climate change - either we ignore the overwhelming scientific evidence and risk the future of our planet or we take immediate action to address it and save the environment.,-,"No matter how much we understand about climate change, we need to focus on economic growth and job creation. We can't ignore the importance of economic prosperity for our society.",-,"For more than 30 years, scientists have been hiding the truth about the origins of the universe from us. Can you really trust anything they say?",-
49,"I draw strength from the young Americans — entrepreneurs, activists, soldiers, new citizens — who are remaking our nation once again.","By supporting the young Americans, we are not only building a stronger future for our nation but also ensuring the safety and security of our children and grandchildren.",-,I draw strength from the young Americans as they have only two options: either they continue to work hard and make their country better or they give up and stop striving for a better future.,-,"We should focus on the accomplishments of previous generations, rather than the achievements of the young Americans.",-,"I draw strength from the young Americans who are remaking our nation once again, even though they don't have the same experiences or perspectives as me, and their success is not necessarily indicative of their abilities.",-
50,"And our leadership, and our Governments, and the United Nations should reflect this irreducible truth.","We can't afford to let our leadership, and our Governments, and the United Nations fail us. Don't you care about the safety and security of your children and grandchildren?",-,There are only two options when it comes to global warming - either we accept it as a real threat and take action or we ignore it and risk catastrophic consequences.,-,"The leadership, Governments, and the United Nations cannot reflect this truth because they are not capable of doing so.",-,"The UN should pass a resolution banning all forms of violence immediately in order to protect human rights, even if there is no evidence to show that it will actually work.",-
51,"""There will not be any solutions or plans presented in line with these figures here today, because these numbers are too uncomfortable.","The current administration is not doing enough to address the issue of income inequality in our country. If we don't take action now, our children and grandchildren will be left with a society where the rich get richer and the poor get poorer. Don't you care about the future of our nation?",-," There will not be any solutions or plans presented in line with these figures here today, because these numbers are too uncomfortable. False dilemma.",+,"There will not be any solutions or plans presented in line with these figures here today, because these numbers are too uncomfortable. Instead, let's focus on how we can improve the economy by investing in infrastructure.",-,"There will not be any solutions or plans presented in line with these figures here today, because these numbers are too uncomfortable.",-
52,"And if you choose to fail us, I say: We will never forgive you. ","If you choose to support illegal immigration and ignore the harm it causes to our economy, I say: You are putting the safety and security of our nation at risk.",-,"If you choose not to fulfill your obligations, I will hold a grudge against you for the rest of my life.",-," And if you choose to fail us, I say: We will never forgive you.",+," Source #3: And if you choose to fail us, we will never forgive you. Fallacy #3: This statement is an intentional fallacy because the speaker is trying to win the argument without providing any evidence or reasoning to support their claim. They are using an emotional appeal to try to intimidate or shame the listener into agreeing with them.",+
53,"We are in the beginning of a mass extinction, and all you can talk about is money and fairy tales of eternal economic growth.",The urgency of addressing climate change cannot be overstated. We owe it to future generations to act now before it's too late. Don't you care about the survival of our planet?,-,"We have two choices: either we accept the inevitability of a mass extinction and ignore the economic harm caused by illegal immigration, or we take action to address both issues and risk disrupting families.",-," We are in the beginning of a mass extinction, and all you can talk about is money and fairy tales of eternal economic growth. However, the focus on economic growth should not overshadow the urgent need to protect the planet and its inhabitants.",+,The fact that we are debating the existence of a mass extinction rather than focusing on taking action to prevent it shows that those arguing against the notion are more concerned with winning the argument than saving our planet.,-
54,And yet I'm one of the lucky ones.,"If the government doesn't prioritize the needs of the middle class, then who will? Don't you want your children and grandchildren to have a stable future?",-,"I'm one of the lucky ones, either I have access to healthcare or I don't.",-,But at least I'm not homeless like so many others.,-,appeal to authority.,-
55,"Look at the transformation that has taken place in countries as different as Japan, Chile and Indonesia. ","Look at the transformation that has taken place in countries as different as Japan, Chile and Indonesia. They have all embraced democracy and human rights, and as a result, their economies have flourished. But don't be fooled by those who argue that democracy and human rights are a luxury that only developed countries can afford.",-,"Look at the transformation that has taken place in countries as different as Japan, Chile, and Indonesia. Clearly, there is no other way to achieve economic prosperity than by implementing policies that have been successful in these countries.",-,"We need to focus more on national security and economic growth. The transformation in countries as different as Japan, Chile, and Indonesia is a luxury that is only affordable after a nation is stable and prosperous.",-," Fallacy #3: “If Japan, Chile, and Indonesia have transformed, then it must be due to their leaders' strong leadership.”",+
56,Many nations have shown what kind of progress is possible when we make those commitments.,"If we don't make those commitments now, we'll never see the kind of progress that many nations have already achieved.",-,"When it comes to climate change, we have to choose between taking immediate action or waiting until it's too late.",-,There is no need to consider the consequences of our actions since we have already seen progress in some nations.,-,"If those nations are able to make those commitments and see progress, then why can't we? It must be because we're not willing to make those same commitments.",-
57,"Today that figure is already down to less than 350 gigatons ""How dare you pretend that this can be solved with just 'business as usual' and some technical solutions?",We are running out of time to solve this crisis. We cannot afford to rely on business as usual and technical solutions alone. The consequences of inaction are dire and immediate.,-,We can either reduce government spending and fix the economy or increase spending and fail.,-,"We need to be cautious about this figure, it may not be entirely accurate.",-,Whataboutism,-
